#{"t_start": 1768404118.0527816, "env_id": "LunarLander-v3"}
r,l,t
-370.651387,191,29.174271
1.577573,126,29.22629
-188.369291,197,29.31127
-2.367038,85,29.34527
-87.891299,105,29.386271
-215.081579,126,29.436285
-78.590677,127,29.488271
-81.53861,167,29.555271
-249.658533,186,31.098269
-37.681269,151,31.168271
-56.957401,162,31.235271
20.300044,188,31.314271
-126.948901,106,31.357283
-28.174951,104,31.39727
-70.006578,147,31.454286
-103.582752,128,31.506271
-35.745159,128,31.557271
-65.1285,145,31.615271
-102.340682,103,31.655271
-37.475586,99,31.693271
-47.6203,105,31.736271
-167.148891,172,31.807285
-38.758943,205,33.370509
-229.732998,251,33.540513
-93.209473,178,33.621512
-51.424347,144,33.681523
-85.415344,125,33.731512
-51.703033,101,33.772511
-30.67304,135,33.83051
-47.807849,186,33.910511
-4.748006,112,33.95523
-179.109717,169,34.022911
-33.297332,145,34.081913
-158.467083,173,34.154926
-135.720771,149,34.214911
-56.985685,141,34.271913
4.338585,128,35.797024
-74.34507,121,35.85202
-191.401274,198,35.937634
-7.342906,182,36.014346
-119.550884,221,36.109324
-232.387906,179,36.185326
-292.266491,239,36.292332
-192.04364,162,36.357339
-84.855964,226,36.454342
-31.641335,140,36.511324
-163.452239,200,36.59334
-9.525007,139,38.181608
-187.091291,264,38.33761
-74.402014,312,38.49861
-126.530865,109,38.540622
-11.439344,180,38.615611
-75.820032,122,38.66461
-15.449649,241,38.772611
-230.323026,178,38.84661
-25.103956,160,38.913303
-31.807657,252,39.032972
-72.468107,188,40.628156
41.919274,1000,41.779469
13.735711,146,41.843468
-71.174024,271,41.977838
13.139774,113,42.025836
-45.393858,143,42.085838
-47.591658,1000,44.576117
45.789554,1000,45.603483
-110.384484,194,45.694496
-31.015123,190,45.780482
17.534804,172,47.451824
-64.769848,191,47.536821
49.318714,137,47.593821
-65.511912,168,47.664821
-8.625396,239,47.767843
-6.089439,179,47.840821
-29.956711,149,47.900821
-218.212308,253,48.017131
-44.359628,144,48.077134
-95.248254,163,48.145136
-136.906036,206,48.232146
30.171531,108,49.903223
-241.991074,198,50.041406
-106.13991,266,50.177418
-33.213324,254,50.303406
-148.157689,177,50.382405
-63.96954,181,50.461427
